cluster,indice_global,sim_coseno_tfidf,sim_coseno_reducido,top_en_tfidf,top_en_reducido,coincide_en_ambos,comentario_cleaned,comentario,genero,lugar,edad
0,6,0.239407,1.0,False,True,False,aventura,aventura,mujer,salvatierra,19
0,12,0.443354,0.999996,True,True,True,cosa mayoria quedar lejos lugar delincuencia violencia poner malo finta ciudad general mala experiencia realmente gustariar quedar recomendar vengar vivir estudiar,"tiene muy pocas cosas para hacer, y las que hay en su mayoria quedan lejos. asi como muchos lugares, la delincuencia y violencia que hay ponen en muy mala finta a la ciudad. en general, aunque no he tenido muy malas experiencias, realmente no me gustaria quedarme ni recomendar que vengan a vivir/estudiar aqui",mujer,leon,20
0,3,0.278928,0.99999,False,True,False,salamanca ciudad gobierno querer hacer crecer inseguridad descuidado,"creo que salamanca podria ser una buena ciudad si el gobierno quisiera hacerla crecer, pero hay mucha inseguridad y todo se ve muy descuidado",mujer,irapuato,25
0,70,0.443354,0.999987,True,False,False,,,hombre,leon,20
0,17,0.439661,0.999912,True,False,False,,,hombre,leon,22
1,23,0.573915,0.99998,True,True,True,ciudad falta arbol atencion bache ciudad lugar ver bandalizado,"es una ciudad que le hacen falta arboles y atenciones como baches en la ciudad, ademas hay lugares que se ven bandalizados",mujer,irapuato,22
1,65,0.384276,0.99997,False,True,False,salamanca ciudad gobierno querer hacer crecer inseguridad descuidado,"creo que salamanca podria ser una buena ciudad si el gobierno quisiera hacerla crecer, pero hay mucha inseguridad y todo se ve muy descuidado",mujer,irapuato,25
1,26,0.348754,0.999955,False,True,False,salamanca,te bueno salamanca,hombre,guanajuato,20
1,43,0.528257,0.999767,True,False,False,salamanca ciudad opinion descuidado,salamanca es una ciudad algo grande pero en mi opinion esta algo descuidada.,hombre,otro,19
1,81,0.573915,0.999679,True,False,False,ciudad sucio mexico cerca refineria disgustar colocar sede ciudad tanto inseguridad suciedad,es de las ciudades mas sucias de mexico por tener aqui cerca la refineria. me disgusta que se haya colocado una sede de la ug en una ciudad con tanta inseguridad y suciedad.,mujer,guanajuato,20
2,89,0.560543,0.999995,False,True,False,naci visito universidad gustar jardin principal calid gente,"aqui naci lo visito por la universidad, me gusta su jardin principal y la calides de la gente",mujer,cortazar,21
2,31,0.560543,0.999992,False,True,False,ciudad potencial turistico brutalmente abandonado descuidar,una ciudad con potencial turistico pero brutalmente abandonada y descuidada,hombre,salamanca,21
2,15,0.652256,0.999989,True,True,True,llevar tiempo vivir general evito salir inseguridad,"llevo poco tiempo viviendo aqui, por lo general evito salir por la inseguridad.",mujer,michoacan,18
